CustomerID,Age,Income,Gender_Male,Gender_Unspecified,EducationLevel_Bachelor's Degree,EducationLevel_High School,EducationLevel_Master's Degree,EducationLevel_PhD,label
CUST00001,37.0,51887.99,0.0,0.0,0.0,0.0,1.0,0.0,1
CUST00002,21.0,148757.07,0.0,1.0,0.0,1.0,0.0,0.0,0
CUST00003,80.0,149022.46,0.0,1.0,0.0,0.0,0.0,0.0,0
CUST00004,42.0,131774.59,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00005,70.0,117448.88,0.0,1.0,0.0,1.0,0.0,0.0,0
CUST00006,35.0,34355.11,0.0,1.0,0.0,1.0,0.0,0.0,0
CUST00007,34.0,135977.25,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00008,27.0,79746.06,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00009,27.0,136846.72,1.0,0.0,1.0,0.0,0.0,0.0,0
CUST00010,67.0,91569.33,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00011,57.0,58222.14,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00012,68.0,49375.55,1.0,0.0,1.0,0.0,0.0,0.0,0
CUST00013,45.0,57207.05,0.0,0.0,0.0,0.0,1.0,0.0,0
CUST00014,68.0,36674.73,0.0,1.0,0.0,0.0,0.0,1.0,0
CUST00015,24.0,65830.22,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00016,74.0,27294.27,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00017,75.0,133768.17,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00018,49.0,112206.68,1.0,0.0,0.0,1.0,0.0,0.0,0
CUST00019,54.0,141781.38,0.0,0.0,0.0,1.0,0.0,0.0,0
CUST00020,59.0,72403.5,0.0,0.0,1.0,0.0,0.0,0.0,0
CUST00021,30.0,70423.22,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00022,25.0,41513.89,1.0,0.0,0.0,0.0,1.0,0.0,0
CUST00023,60.0,46975.13,0.0,0.0,0.0,0.0,1.0,0.0,1
CUST00024,68.0,103933.24,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00025,69.0,64020.27,0.0,1.0,0.0,0.0,1.0,0.0,1
CUST00026,47.0,110037.6,0.0,1.0,0.0,0.0,0.0,0.0,1
CUST00027,78.0,93517.62,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00028,52.0,51908.08,1.0,0.0,0.0,0.0,1.0,0.0,1
CUST00029,68.0,31470.09,0.0,1.0,0.0,0.0,1.0,0.0,0
CUST00030,24.0,71957.94,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00031,79.0,76257.15,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00032,49.0,52629.49,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00033,70.0,148904.98,0.0,0.0,0.0,0.0,0.0,0.0,0
CUST00034,39.0,89072.51,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00035,31.0,134447.39,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00036,37.0,145852.79,1.0,0.0,0.0,0.0,1.0,0.0,1
CUST00037,77.0,75135.14,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00038,62.0,132097.97,0.0,1.0,0.0,0.0,1.0,0.0,1
CUST00039,78.0,64144.27,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00040,32.0,40899.55,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00041,79.0,144526.31,1.0,0.0,0.0,0.0,1.0,0.0,1
CUST00042,37.0,96310.74,0.0,1.0,0.0,0.0,1.0,0.0,1
CUST00043,37.0,105587.19,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00044,18.0,34687.87,0.0,0.0,0.0,0.0,0.0,0.0,0
CUST00045,51.0,31359.05,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00046,36.0,145952.55,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00047,80.0,105466.95,0.0,1.0,0.0,0.0,0.0,0.0,0
CUST00048,40.0,135268.79,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00049,47.0,57506.65,0.0,0.0,1.0,0.0,0.0,0.0,1
CUST00050,59.0,79555.57,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00051,47.0,105218.6,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00052,40.0,70415.47,0.0,0.0,0.0,0.0,1.0,0.0,1
CUST00053,55.0,131344.94,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00054,30.0,85070.89,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00055,57.0,146419.54,0.0,1.0,0.0,1.0,0.0,0.0,1
CUST00056,48.0,145012.1,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00057,62.0,48239.83,0.0,0.0,1.0,0.0,0.0,0.0,0
CUST00058,56.0,149323.86,0.0,0.0,0.0,0.0,0.0,0.0,0
CUST00059,34.0,37794.69,0.0,1.0,0.0,0.0,0.0,0.0,0
CUST00060,20.0,106745.28,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00061,50.0,59105.59,1.0,0.0,0.0,0.0,1.0,0.0,1
CUST00062,37.0,71965.49,0.0,0.0,1.0,0.0,0.0,0.0,0
CUST00063,26.0,45905.82,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00064,52.0,145709.02,0.0,1.0,0.0,1.0,0.0,0.0,1
CUST00065,28.0,20431.67,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00066,74.0,81178.43,0.0,0.0,0.0,0.0,0.0,1.0,1
CUST00067,56.0,48058.61,0.0,0.0,1.0,0.0,0.0,0.0,0
CUST00068,30.0,110650.95,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00069,33.0,110032.07,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00070,61.0,115213.04,0.0,1.0,0.0,0.0,1.0,0.0,0
CUST00071,60.0,118663.21,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00072,36.0,84276.17,0.0,0.0,0.0,1.0,0.0,0.0,0
CUST00073,60.0,110542.35,0.0,1.0,0.0,0.0,1.0,0.0,1
CUST00074,65.0,137135.51,0.0,1.0,0.0,0.0,0.0,0.0,1
CUST00075,73.0,120178.66,0.0,1.0,0.0,0.0,1.0,0.0,0
CUST00076,51.0,116893.51,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00077,70.0,92812.5,0.0,1.0,0.0,0.0,0.0,1.0,0
CUST00078,28.0,120181.66,0.0,1.0,0.0,0.0,1.0,0.0,1
CUST00079,39.0,93158.63,0.0,1.0,0.0,0.0,0.0,1.0,0
CUST00080,50.0,91634.12,0.0,1.0,0.0,0.0,0.0,1.0,0
CUST00081,50.0,146713.51,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00082,55.0,83561.46,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00083,47.0,68659.6,1.0,0.0,0.0,0.0,1.0,0.0,1
