CustomerID,Age,Gender,EducationLevel,Income,LoanApproved
CUST04228,39,Unspecified,Associate Degree,108463.01,True
CUST04677,72,Female,PhD,138734.86,True
CUST00801,57,Female,Master's Degree,49079.21,True
CUST03672,70,Male,Bachelor's Degree,82769.72,True
CUST04194,30,Unspecified,Master's Degree,125441.07,True
CUST02969,31,Unspecified,High School,138508.33,False
CUST04794,38,Unspecified,Associate Degree,42162.49,True
CUST04369,27,Male,Master's Degree,40474.41,False
CUST02777,28,Unspecified,High School,40605.33,False
CUST02971,80,Unspecified,Master's Degree,105160.02,False
CUST03868,49,Unspecified,Master's Degree,145859.94,True
CUST01744,27,Unspecified,High School,89099.59,False
CUST03949,70,Female,PhD,39607.51,False
CUST03803,20,Female,Bachelor's Degree,39914.13,True
CUST02025,27,Unspecified,Bachelor's Degree,125493.37,True
CUST02275,44,Unspecified,Associate Degree,78435.07,True
CUST00100,19,Female,Associate Degree,86306.42,True
CUST04922,59,Unspecified,Associate Degree,42596.87,False
CUST03408,66,Unspecified,PhD,50162.27,True
CUST04246,71,Male,PhD,85937.02,True
CUST04620,60,Male,Associate Degree,135307.19,False
CUST04917,62,Male,Associate Degree,54546.24,False
CUST00192,48,Female,PhD,59930.59,True
CUST04697,66,Male,Master's Degree,69811.67,True
CUST01785,66,Unspecified,Associate Degree,96096.06,True
CUST01533,74,Unspecified,PhD,107323.45,True
CUST02835,24,Unspecified,PhD,125943.93,True
CUST04445,26,Female,Master's Degree,31263.84,True
CUST04916,23,Male,Associate Degree,83067.5,True
CUST01599,58,Unspecified,PhD,127127.18,True
CUST01780,75,Unspecified,Associate Degree,30010.37,True
CUST04901,64,Male,Master's Degree,54482.61,True
CUST02575,33,Female,Master's Degree,36312.16,False
CUST03399,71,Male,High School,98424.67,True
CUST03976,59,Male,Bachelor's Degree,116726.91,True
CUST03771,68,Female,Associate Degree,26661.24,True
CUST00167,27,Female,Bachelor's Degree,32201.97,True
CUST01752,44,Female,Bachelor's Degree,130978.39,True
CUST01480,78,Female,High School,129835.27,True
CUST01025,25,Male,High School,140228.06,True
CUST01789,78,Unspecified,Associate Degree,34325.56,False
CUST02265,68,Unspecified,High School,66751.85,False
CUST02474,69,Female,PhD,107370.51,True
CUST01823,20,Unspecified,Bachelor's Degree,73358.06,True
CUST01221,20,Male,Master's Degree,138918.2,True
CUST01667,36,Female,Bachelor's Degree,129938.08,True
CUST02961,34,Unspecified,High School,37510.62,True
CUST00153,32,Unspecified,Master's Degree,148010.77,True
CUST02535,30,Male,Master's Degree,122796.13,True
CUST04689,34,Female,Master's Degree,43217.43,True
CUST01979,66,Male,Master's Degree,89220.57,False
CUST01470,41,Female,Bachelor's Degree,20642.89,True
CUST02808,45,Unspecified,High School,37394.08,True
CUST02513,35,Female,PhD,39061.56,False
CUST02944,18,Unspecified,PhD,148555.83,True
CUST02981,49,Male,PhD,60838.0,True
CUST04823,19,Female,Master's Degree,90286.88,False
CUST03018,72,Male,Master's Degree,126469.5,True
CUST01567,35,Female,PhD,20848.94,False
CUST00032,49,Male,PhD,52629.49,True
CUST00938,73,Unspecified,Bachelor's Degree,87332.25,False
CUST01216,33,Male,Bachelor's Degree,117348.64,True
CUST01938,63,Female,Master's Degree,30032.52,False
CUST01130,62,Unspecified,Master's Degree,58084.43,False
CUST00310,35,Female,PhD,96155.59,False
CUST04902,56,Male,Master's Degree,70563.42,True
CUST02169,50,Female,PhD,35557.93,False
CUST03114,53,Unspecified,Master's Degree,93776.59,True
CUST00496,62,Male,Master's Degree,112113.88,True
CUST00206,52,Male,PhD,80916.45,True
CUST02674,75,Male,High School,103074.62,True
CUST03358,62,Male,Associate Degree,144642.65,True
CUST03831,76,Male,Bachelor's Degree,61772.02,False
CUST00306,71,Male,Associate Degree,111823.25,False
CUST03794,44,Unspecified,High School,49442.37,False
CUST02202,20,Female,PhD,79662.96,True
CUST01062,61,Female,Bachelor's Degree,84921.63,True
CUST00844,57,Female,Master's Degree,145740.59,True
CUST03873,53,Female,Master's Degree,64880.56,False
CUST02252,34,Female,High School,59540.36,False
CUST00212,45,Male,Associate Degree,37698.87,False
CUST03998,60,Male,Associate Degree,20529.62,False
CUST00680,40,Unspecified,Master's Degree,134674.05,False
CUST00566,71,Unspecified,Bachelor's Degree,83157.55,True
CUST03291,40,Unspecified,Associate Degree,46888.16,True
CUST04355,33,Male,High School,75938.36,False
CUST00681,53,Unspecified,Master's Degree,103774.15,True
CUST00181,41,Female,Master's Degree,50633.68,False
CUST04280,58,Male,High School,47477.81,False
CUST02496,44,Female,PhD,20556.84,True
CUST02317,58,Female,Bachelor's Degree,69028.08,True
CUST04274,76,Female,Master's Degree,148265.06,False
CUST00279,71,Unspecified,Master's Degree,107805.83,False
CUST03684,36,Female,High School,87436.79,True
CUST04763,59,Unspecified,Bachelor's Degree,27453.38,False
CUST00433,55,Unspecified,PhD,81298.06,False
CUST00290,60,Unspecified,High School,63418.88,True
CUST01028,21,Female,PhD,25628.42,False
CUST00536,31,Male,High School,44827.35,False
CUST03632,60,Male,Associate Degree,36551.17,False
CUST00189,57,Male,Associate Degree,121813.53,True
CUST02175,75,Unspecified,Bachelor's Degree,52650.02,True
CUST03916,63,Unspecified,PhD,127860.07,False
CUST01863,36,Unspecified,Master's Degree,76134.33,True
CUST00271,52,Female,Bachelor's Degree,98419.77,False
CUST01729,38,Male,Master's Degree,39206.76,True
CUST04076,25,Female,Associate Degree,37847.31,True
CUST02158,20,Female,Associate Degree,136704.34,False
CUST03932,25,Male,Associate Degree,87307.62,False
CUST00112,47,Unspecified,Master's Degree,68674.12,False
CUST02385,80,Female,PhD,98768.75,True
CUST00221,28,Male,Bachelor's Degree,111060.58,True
CUST00628,49,Male,Associate Degree,34792.08,False
CUST01182,45,Unspecified,High School,84439.04,False
CUST03382,45,Female,Associate Degree,125235.83,False
CUST02423,23,Female,High School,97656.34,True
CUST00791,60,Female,Associate Degree,30934.06,False
CUST04276,71,Male,High School,147505.87,True
CUST00462,44,Unspecified,Master's Degree,108568.0,True
CUST04403,70,Unspecified,Bachelor's Degree,95499.11,False
CUST00552,19,Male,Associate Degree,113487.41,False
CUST03130,54,Unspecified,PhD,79693.12,False
CUST01445,27,Female,Associate Degree,82744.26,False
CUST00199,62,Unspecified,Bachelor's Degree,44096.33,True
CUST02590,67,Male,PhD,117946.94,True
CUST00403,76,Unspecified,Bachelor's Degree,111385.98,True
CUST03960,48,Male,High School,29580.74,False
