CustomerID,Age,Gender,EducationLevel,Income,LoanApproved
CUST00001,37.0,Female,Master's Degree,51887.99,True
CUST00002,21.0,Unspecified,High School,148757.07,False
CUST00003,80.0,Unspecified,Associate Degree,149022.46,False
CUST00004,42.0,Male,Associate Degree,131774.59,False
CUST00005,70.0,Unspecified,High School,117448.88,False
CUST00006,35.0,Unspecified,High School,34355.11,False
CUST00007,34.0,Male,High School,135977.25,True
CUST00008,27.0,Unspecified,PhD,79746.06,True
CUST00009,27.0,Male,Bachelor's Degree,136846.72,False
CUST00010,67.0,Male,PhD,91569.33,True
CUST00011,57.0,Female,Associate Degree,58222.14,True
CUST00012,68.0,Male,Bachelor's Degree,49375.55,False
CUST00013,45.0,Female,Master's Degree,57207.05,False
CUST00014,68.0,Unspecified,PhD,36674.73,False
CUST00015,24.0,Unspecified,PhD,65830.22,True
CUST00016,74.0,Male,Associate Degree,27294.27,False
CUST00017,75.0,Male,PhD,133768.17,True
CUST00018,49.0,Male,High School,112206.68,False
CUST00019,54.0,Female,High School,141781.38,False
CUST00020,59.0,Female,Bachelor's Degree,72403.5,False
CUST00021,30.0,Unspecified,Bachelor's Degree,70423.22,True
CUST00022,25.0,Male,Master's Degree,41513.89,False
CUST00023,60.0,Female,Master's Degree,46975.13,True
CUST00024,68.0,Unspecified,Bachelor's Degree,103933.24,True
CUST00025,69.0,Unspecified,Master's Degree,64020.27,True
CUST00026,47.0,Unspecified,Associate Degree,110037.6,True
CUST00027,78.0,Male,Bachelor's Degree,93517.62,True
CUST00028,52.0,Male,Master's Degree,51908.08,True
CUST00029,68.0,Unspecified,Master's Degree,31470.09,False
CUST00030,24.0,Male,Bachelor's Degree,71957.94,True
CUST00031,79.0,Male,Associate Degree,76257.15,True
CUST00032,49.0,Male,PhD,52629.49,True
CUST00033,70.0,Female,Associate Degree,148904.98,False
CUST00034,39.0,Male,Bachelor's Degree,89072.51,True
CUST00035,31.0,Unspecified,PhD,134447.39,True
CUST00036,37.0,Male,Master's Degree,145852.79,True
CUST00037,77.0,Male,Bachelor's Degree,75135.14,True
CUST00038,62.0,Unspecified,Master's Degree,132097.97,True
CUST00039,78.0,Female,Associate Degree,64144.27,True
CUST00040,32.0,Unspecified,Bachelor's Degree,40899.55,True
CUST00041,79.0,Male,Master's Degree,144526.31,True
CUST00042,37.0,Unspecified,Master's Degree,96310.74,True
CUST00043,37.0,Male,Associate Degree,105587.19,True
CUST00044,18.0,Female,Associate Degree,34687.87,False
CUST00045,51.0,Male,Bachelor's Degree,31359.05,True
CUST00046,36.0,Male,Associate Degree,145952.55,False
CUST00047,80.0,Unspecified,Associate Degree,105466.95,False
CUST00048,40.0,Unspecified,Bachelor's Degree,135268.79,True
CUST00049,47.0,Female,Bachelor's Degree,57506.65,True
CUST00050,59.0,Male,PhD,79555.57,True
CUST00051,47.0,Male,High School,105218.6,True
CUST00052,40.0,Female,Master's Degree,70415.47,True
CUST00053,55.0,Male,PhD,131344.94,True
CUST00054,30.0,Male,Associate Degree,85070.89,True
CUST00055,57.0,Unspecified,High School,146419.54,True
CUST00056,48.0,Male,Bachelor's Degree,145012.1,True
CUST00057,62.0,Female,Bachelor's Degree,48239.83,False
CUST00058,56.0,Female,Associate Degree,149323.86,False
CUST00059,34.0,Unspecified,Associate Degree,37794.69,False
CUST00060,20.0,Male,Bachelor's Degree,106745.28,True
CUST00061,50.0,Male,Master's Degree,59105.59,True
CUST00062,37.0,Female,Bachelor's Degree,71965.49,False
CUST00063,26.0,Unspecified,Bachelor's Degree,45905.82,True
CUST00064,52.0,Unspecified,High School,145709.02,True
CUST00065,28.0,Unspecified,PhD,20431.67,True
CUST00066,74.0,Female,PhD,81178.43,True
CUST00067,56.0,Female,Bachelor's Degree,48058.61,False
CUST00068,30.0,Unspecified,PhD,110650.95,True
CUST00069,33.0,Male,Associate Degree,110032.07,True
CUST00070,61.0,Unspecified,Master's Degree,115213.04,False
