CustomerID,Age,Income,LoanApproved,Gender_Male,Gender_Unspecified,EducationLevel_Bachelors_Degree,EducationLevel_High_School,EducationLevel_Masters_Degree,EducationLevel_PhD
CUST00001,37.0,51887.99,True,0.0,0.0,0.0,0.0,1.0,0.0
CUST00002,21.0,148757.07,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00003,80.0,149022.46,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00004,42.0,131774.59,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00005,70.0,117448.88,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00006,35.0,34355.11,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00007,34.0,135977.25,True,1.0,0.0,0.0,1.0,0.0,0.0
CUST00008,27.0,79746.06,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00009,27.0,136846.72,False,1.0,0.0,1.0,0.0,0.0,0.0
CUST00010,67.0,91569.33,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00011,57.0,58222.14,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00012,68.0,49375.55,False,1.0,0.0,1.0,0.0,0.0,0.0
CUST00013,45.0,57207.05,False,0.0,0.0,0.0,0.0,1.0,0.0
CUST00014,68.0,36674.73,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00015,24.0,65830.22,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00016,74.0,27294.27,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00017,75.0,133768.17,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00018,49.0,112206.68,False,1.0,0.0,0.0,1.0,0.0,0.0
CUST00019,54.0,141781.38,False,0.0,0.0,0.0,1.0,0.0,0.0
CUST00020,59.0,72403.5,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00021,30.0,70423.22,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00022,25.0,41513.89,False,1.0,0.0,0.0,0.0,1.0,0.0
CUST00023,60.0,46975.13,True,0.0,0.0,0.0,0.0,1.0,0.0
CUST00024,68.0,103933.24,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00025,69.0,64020.27,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00026,47.0,110037.6,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00027,78.0,93517.62,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00028,52.0,51908.08,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00029,68.0,31470.09,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00030,24.0,71957.94,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00031,79.0,76257.15,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00032,49.0,52629.49,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00033,70.0,148904.98,False,0.0,0.0,0.0,0.0,0.0,0.0
CUST00034,39.0,89072.51,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00035,31.0,134447.39,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00036,37.0,145852.79,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00037,77.0,75135.14,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00038,62.0,132097.97,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00039,78.0,64144.27,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00040,32.0,40899.55,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00041,79.0,144526.31,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00042,37.0,96310.74,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00043,37.0,105587.19,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00044,18.0,34687.87,False,0.0,0.0,0.0,0.0,0.0,0.0
CUST00045,51.0,31359.05,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00046,36.0,145952.55,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00047,80.0,105466.95,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00048,40.0,135268.79,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00049,47.0,57506.65,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00050,59.0,79555.57,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00051,47.0,105218.6,True,1.0,0.0,0.0,1.0,0.0,0.0
CUST00052,40.0,70415.47,True,0.0,0.0,0.0,0.0,1.0,0.0
CUST00053,55.0,131344.94,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00054,30.0,85070.89,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00055,57.0,146419.54,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00056,48.0,145012.1,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00057,62.0,48239.83,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00058,56.0,149323.86,False,0.0,0.0,0.0,0.0,0.0,0.0
CUST00059,34.0,37794.69,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00060,20.0,106745.28,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00061,50.0,59105.59,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00062,37.0,71965.49,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00063,26.0,45905.82,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00064,52.0,145709.02,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00065,28.0,20431.67,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00066,74.0,81178.43,True,0.0,0.0,0.0,0.0,0.0,1.0
CUST00067,56.0,48058.61,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00068,30.0,110650.95,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00069,33.0,110032.07,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00070,61.0,115213.04,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00071,60.0,118663.21,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00072,36.0,84276.17,False,0.0,0.0,0.0,1.0,0.0,0.0
CUST00073,60.0,110542.35,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00074,65.0,137135.51,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00075,73.0,120178.66,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00076,51.0,116893.51,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00077,70.0,92812.5,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00078,28.0,120181.66,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00079,39.0,93158.63,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00080,50.0,91634.12,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00081,50.0,146713.51,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00082,55.0,83561.46,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00083,47.0,68659.6,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00084,43.0,135609.22,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00085,25.0,90351.21,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00086,61.0,132103.94,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00087,61.0,71662.09,False,1.0,0.0,0.0,1.0,0.0,0.0
CUST00088,40.0,148696.65,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00089,51.0,114530.57,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00090,43.0,123613.43,False,1.0,0.0,0.0,1.0,0.0,0.0
CUST00091,43.0,93717.72,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00092,22.0,76322.9,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00093,72.0,124943.24,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00094,49.0,37777.35,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00095,50.0,36161.9,False,0.0,0.0,0.0,1.0,0.0,0.0
CUST00096,80.0,100046.5,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00097,52.0,124513.13,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00098,35.0,81571.28,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00099,76.0,49774.22,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00100,19.0,86306.42,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00101,59.0,114847.21,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00102,50.0,26082.22,True,1.0,0.0,0.0,1.0,0.0,0.0
CUST00103,24.0,92430.61,True,0.0,0.0,0.0,0.0,0.0,1.0
CUST00104,80.0,52617.68,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00105,33.0,24741.05,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00106,41.0,59903.25,False,1.0,0.0,0.0,1.0,0.0,0.0
CUST00107,71.0,90393.04,False,0.0,0.0,0.0,0.0,1.0,0.0
CUST00108,62.0,66940.27,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00109,18.0,23611.37,False,0.0,1.0,1.0,0.0,0.0,0.0
CUST00110,66.0,147497.58,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00111,43.0,134886.35,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00112,47.0,68674.12,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00113,32.0,74576.12,True,0.0,0.0,0.0,0.0,1.0,0.0
CUST00114,38.0,145577.45,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00115,60.0,113865.85,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00116,24.0,92345.42,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00117,70.0,136566.84,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00118,19.0,98395.8,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00119,41.0,119350.23,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00120,24.0,25756.92,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00121,22.0,20793.86,False,1.0,0.0,0.0,0.0,0.0,1.0
CUST00122,55.0,92238.55,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00123,66.0,109276.14,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00124,61.0,64652.3,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00125,44.0,117735.71,True,0.0,0.0,0.0,1.0,0.0,0.0
CUST00126,51.0,59000.68,False,0.0,1.0,1.0,0.0,0.0,0.0
CUST00127,71.0,70189.53,True,0.0,0.0,0.0,0.0,0.0,1.0
CUST00128,42.0,105590.31,False,0.0,1.0,1.0,0.0,0.0,0.0
CUST00129,26.0,49935.18,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00130,30.0,28097.61,False,1.0,0.0,0.0,0.0,1.0,0.0
CUST00131,54.0,94068.89,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00132,74.0,79275.86,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00133,60.0,134504.81,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00134,58.0,28108.63,False,0.0,0.0,0.0,1.0,0.0,0.0
CUST00135,62.0,60859.03,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00136,47.0,143183.78,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00137,31.0,94733.3,True,1.0,0.0,0.0,1.0,0.0,0.0
CUST00138,74.0,35127.45,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00139,40.0,32194.03,False,1.0,0.0,0.0,0.0,1.0,0.0
CUST00140,60.0,105100.9,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00141,74.0,49913.88,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00142,62.0,22493.82,False,0.0,0.0,0.0,0.0,1.0,0.0
CUST00143,50.0,53025.16,False,1.0,0.0,0.0,1.0,0.0,0.0
CUST00144,68.0,84167.19,True,1.0,0.0,0.0,1.0,0.0,0.0
CUST00145,33.0,42137.59,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00146,41.0,66575.56,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00147,36.0,66305.94,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00148,67.0,62729.33,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00149,21.0,30442.36,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00150,20.0,149308.32,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00151,28.0,121079.16,False,0.0,0.0,0.0,0.0,0.0,1.0
CUST00152,38.0,79384.87,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00153,32.0,148010.77,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00154,21.0,35449.17,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00155,21.0,48060.47,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00156,45.0,108750.3,False,0.0,0.0,0.0,0.0,1.0,0.0
CUST00157,60.0,53212.92,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00158,35.0,99423.39,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00159,26.0,60437.53,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00160,52.0,133998.98,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00161,23.0,95936.2,False,0.0,0.0,1.0,0.0,0.0,0.0
CUST00162,18.0,101104.99,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00163,42.0,22248.74,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00164,46.0,120970.62,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00165,25.0,91306.97,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00166,56.0,137840.43,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00167,27.0,32201.97,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00168,71.0,71884.79,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00169,50.0,35114.33,False,0.0,0.0,0.0,0.0,0.0,1.0
CUST00170,80.0,142139.07,True,0.0,0.0,0.0,0.0,1.0,0.0
CUST00171,35.0,140233.09,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00172,30.0,71734.69,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00173,61.0,117294.52,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00174,45.0,124226.27,True,0.0,1.0,0.0,1.0,0.0,0.0
CUST00175,35.0,55252.21,False,1.0,0.0,1.0,0.0,0.0,0.0
CUST00176,43.0,110285.36,False,0.0,0.0,0.0,0.0,1.0,0.0
CUST00177,75.0,107056.73,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00178,25.0,54452.21,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00179,42.0,148952.64,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00180,26.0,32433.45,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00181,41.0,50633.68,False,0.0,0.0,0.0,0.0,1.0,0.0
CUST00182,21.0,89523.66,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00183,76.0,102897.51,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00184,77.0,59618.1,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00185,30.0,127965.6,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00186,35.0,120245.71,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00187,47.0,35970.2,True,0.0,0.0,0.0,1.0,0.0,0.0
CUST00188,25.0,45106.83,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00189,57.0,121813.53,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00190,47.0,49282.46,True,1.0,0.0,0.0,0.0,0.0,0.0
CUST00191,42.0,56164.55,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00192,48.0,59930.59,True,0.0,0.0,0.0,0.0,0.0,1.0
CUST00193,26.0,145930.11,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00194,37.0,73080.91,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00195,41.0,40334.57,False,0.0,1.0,0.0,0.0,1.0,0.0
CUST00196,40.0,94843.67,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00197,49.0,123708.41,False,0.0,1.0,0.0,0.0,0.0,1.0
CUST00198,57.0,44790.34,True,0.0,0.0,0.0,1.0,0.0,0.0
CUST00199,62.0,44096.33,True,0.0,1.0,1.0,0.0,0.0,0.0
CUST00200,26.0,37950.41,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00201,34.0,25678.64,True,0.0,1.0,0.0,0.0,1.0,0.0
CUST00202,78.0,136838.99,True,0.0,0.0,0.0,1.0,0.0,0.0
CUST00203,24.0,127216.96,True,0.0,0.0,0.0,0.0,0.0,0.0
CUST00204,36.0,45234.63,False,0.0,0.0,0.0,1.0,0.0,0.0
CUST00205,24.0,57107.27,True,0.0,0.0,1.0,0.0,0.0,0.0
CUST00206,52.0,80916.45,True,1.0,0.0,0.0,0.0,0.0,1.0
CUST00207,57.0,140448.39,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00208,62.0,94324.54,False,1.0,0.0,0.0,1.0,0.0,0.0
CUST00209,49.0,21979.49,True,0.0,0.0,0.0,0.0,1.0,0.0
CUST00210,19.0,41045.51,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00211,77.0,84790.01,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00212,45.0,37698.87,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00213,65.0,71976.02,False,0.0,1.0,0.0,0.0,0.0,0.0
CUST00214,29.0,95392.67,True,1.0,0.0,0.0,1.0,0.0,0.0
CUST00215,55.0,74847.5,False,1.0,0.0,0.0,0.0,0.0,0.0
CUST00216,58.0,114426.82,True,0.0,1.0,0.0,0.0,0.0,1.0
CUST00217,65.0,63547.41,False,1.0,0.0,0.0,0.0,1.0,0.0
CUST00218,70.0,25764.79,True,0.0,1.0,0.0,0.0,0.0,0.0
CUST00219,49.0,22780.06,False,1.0,0.0,1.0,0.0,0.0,0.0
CUST00220,23.0,108136.78,False,0.0,1.0,0.0,1.0,0.0,0.0
CUST00221,28.0,111060.58,True,1.0,0.0,1.0,0.0,0.0,0.0
CUST00222,52.0,32168.67,True,1.0,0.0,0.0,0.0,1.0,0.0
CUST00223,67.0,115253.1,False,0.0,1.0,1.0,0.0,0.0,0.0
