CustomerID,Age,Income,Gender_Male,Gender_Unspecified,EducationLevel_Bachelors_Degree,EducationLevel_High_School,EducationLevel_Masters_Degree,EducationLevel_PhD,label
CUST00001,37.0,112082.81,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00002,25.0,138122.07,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00003,20.0,120304.19,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00004,55.0,117455.69,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00005,61.0,110218.11,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00006,26.0,99429.02,0.0,0.0,0.0,0.0,0.0,0.0,0
CUST00007,61.0,69091.99,1.0,0.0,0.0,0.0,1.0,0.0,0
CUST00008,72.0,42952.55,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00009,52.0,25025.15,0.0,1.0,0.0,0.0,1.0,0.0,0
CUST00010,76.0,90207.1,0.0,0.0,1.0,0.0,0.0,0.0,0
CUST00011,69.0,50444.73,1.0,0.0,0.0,1.0,0.0,0.0,0
CUST00012,43.0,24752.59,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00013,35.0,41113.19,0.0,1.0,0.0,1.0,0.0,0.0,0
CUST00014,58.0,80081.61,0.0,1.0,1.0,0.0,0.0,0.0,1
CUST00015,31.0,88073.66,0.0,1.0,0.0,0.0,0.0,0.0,1
CUST00016,51.0,101794.73,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00017,33.0,97778.23,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00018,44.0,100318.36,0.0,0.0,0.0,0.0,1.0,0.0,1
CUST00019,36.0,74826.79,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00020,69.0,34130.81,0.0,0.0,1.0,0.0,0.0,0.0,1
CUST00021,29.0,92848.09,0.0,0.0,0.0,0.0,0.0,0.0,0
CUST00022,79.0,38941.05,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00023,77.0,145496.7,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00024,36.0,54406.06,1.0,0.0,0.0,0.0,0.0,0.0,0
CUST00025,29.0,28767.16,0.0,0.0,0.0,1.0,0.0,0.0,1
CUST00026,76.0,59173.5,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00027,70.0,24615.53,0.0,0.0,0.0,1.0,0.0,0.0,0
CUST00028,61.0,131942.68,0.0,1.0,0.0,0.0,1.0,0.0,1
CUST00029,43.0,137913.23,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00030,21.0,48330.02,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00031,26.0,148225.94,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00032,27.0,104540.66,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00033,52.0,66059.81,0.0,0.0,0.0,0.0,0.0,0.0,0
CUST00034,51.0,42757.62,1.0,0.0,0.0,1.0,0.0,0.0,0
CUST00035,43.0,81480.31,1.0,0.0,0.0,1.0,0.0,0.0,1
CUST00036,33.0,117026.59,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00037,66.0,107334.43,1.0,0.0,0.0,1.0,0.0,0.0,0
CUST00038,64.0,106039.86,0.0,0.0,0.0,0.0,0.0,1.0,1
CUST00039,76.0,109775.82,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00040,58.0,86355.65,0.0,1.0,0.0,0.0,1.0,0.0,0
CUST00041,36.0,58147.76,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00042,45.0,62208.94,1.0,0.0,0.0,0.0,0.0,1.0,1
CUST00043,40.0,101652.51,0.0,0.0,0.0,0.0,1.0,0.0,0
CUST00044,79.0,90095.4,0.0,0.0,0.0,0.0,0.0,1.0,1
CUST00045,77.0,36588.5,1.0,0.0,0.0,0.0,1.0,0.0,0
CUST00046,73.0,125313.98,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00047,23.0,137154.74,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00048,42.0,36300.38,0.0,0.0,0.0,0.0,1.0,0.0,0
CUST00049,66.0,142075.4,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00050,46.0,90053.97,0.0,0.0,1.0,0.0,0.0,0.0,0
CUST00051,33.0,77930.62,0.0,1.0,1.0,0.0,0.0,0.0,0
CUST00052,50.0,103980.63,0.0,1.0,0.0,1.0,0.0,0.0,1
CUST00053,20.0,37002.85,0.0,0.0,0.0,1.0,0.0,0.0,0
CUST00054,52.0,148350.0,1.0,0.0,1.0,0.0,0.0,0.0,1
CUST00055,31.0,122001.73,0.0,0.0,0.0,0.0,0.0,0.0,1
CUST00056,71.0,98988.64,1.0,0.0,0.0,1.0,0.0,0.0,0
CUST00057,76.0,39986.66,0.0,1.0,0.0,0.0,0.0,0.0,1
CUST00058,25.0,126322.69,1.0,0.0,0.0,0.0,0.0,0.0,1
CUST00059,26.0,58917.1,0.0,0.0,0.0,0.0,0.0,1.0,0
CUST00060,55.0,36137.19,0.0,1.0,0.0,0.0,0.0,1.0,1
CUST00061,37.0,131074.44,0.0,0.0,1.0,0.0,0.0,0.0,1
CUST00062,34.0,86909.28,0.0,0.0,0.0,0.0,0.0,1.0,1
CUST00063,61.0,44809.34,0.0,0.0,0.0,1.0,0.0,0.0,1
CUST00064,38.0,146825.99,0.0,0.0,0.0,0.0,0.0,0.0,1
